Datetime;Ambient Temperature [ºC];Global Radiation [W/m2];Diffuse Radiation [W/m2];Ultraviolet [W/m2];Wind Velocity [m/s];Wind Direction [º];Precipitation [mm];Atmospheric pressure [hPa]
2018-01-01T07:09:00+00:00;7.700001;1.383024;1.6287889999999998;0.511402;3.183334;327.50214;0;1032.2834
2018-01-01T05:31:00+00:00;6.566667;1.9007809999999998;1.655539;0.507736;2.933334;320.99958;0;1031.8
2018-01-01T08:16:00+00:00;7.6;40.312724;17.110052;3.074879;1.166667;301.50116;0;1032.8
2018-01-01T06:56:00+00:00;7.183334;1.5524900000000001;1.630004;0.503479;2.016667;303.23554;0;1032.3168
2018-01-01T01:44:00+00:00;8.400002;1.7174239999999998;1.6390479999999998;0.509595;3.683334;311.49908;0;1031.9166
2018-01-01T07:39:00+00:00;7.883334;2.5715589999999997;2.667731;0.671461;3.266667;325.5001;0;1032.3
2018-01-01T07:08:00+00:00;7.616667;1.15556;1.631888;0.5117039999999999;3.9;320.5003;0;1032.2002
2018-01-01T07:02:00+00:00;7.3;1.062106;1.627511;0.509911;2.716667;326.33332;0;1032.4332
2018-01-01T07:11:00+00:00;7.733333;1.315754;1.64223;0.509709;1.833333;19.85276;0;1032.4
2018-01-01T07:24:00+00:00;7.8;1.217538;1.631516;0.525038;2.016667;332.98624;0;1032.5
2018-01-01T06:50:00+00:00;6.966667;1.227336;1.63523;0.504386;4.2;324.49996;0;1032.3
2018-01-01T07:14:00+00:00;7.8;1.4128910000000001;1.64535;0.51302;1.6;22.828312;0;1032.5668
2018-01-01T07:04:00+00:00;7.3;1.09671;1.6192630000000001;0.510801;3.633334;320.0;0;1032.35
2018-01-01T08:35:00+00:00;8.150001;88.157416;25.135422;5.169156;1.266667;295.83838;0;1032.9668
2018-01-01T08:56:00+00:00;9.083334;155.70436;35.210728;7.938438;1.233333;318.30712;0;1033.05
2018-01-01T08:21:00+00:00;7.700001;52.246892;20.038444;3.582794;2.183334;324.99924;0;1032.8
2018-01-01T08:23:00+00:00;7.766667;57.568772;21.91452;3.791686;2.2;326.83358;0;1032.9
2018-01-01T08:31:00+00:00;7.9;76.963648;23.680288;4.691065;1.1;328.33436;0;1032.9
2018-01-01T09:02:00+00:00;9.3;176.86072;38.047724;8.273171;1.1;330.83234;0;1033.1832
2018-01-01T08:36:00+00:00;8.2;92.104744;26.48838;5.294441;1.55;298.854;0;1033.0
2018-01-01T09:01:00+00:00;9.3;173.97272;37.966364;8.64809;1.3;329.1626;0;1033.1834
2018-01-01T10:13:00+00:00;14.916668;387.27052;50.420016;19.550888;0.5666669999999999;85.077256;0;1034.2002
2018-01-01T10:03:00+00:00;13.633332;360.34776;50.563216;18.103438;0.266667;47.989688;0;1034.3
2018-01-01T10:11:00+00:00;14.633332;382.23156;52.034576;19.272712;0.16666699999999998;287.322;0;1034.1832
2018-01-01T09:55:00+00:00;12.916668;339.74236;50.235296;16.843012;0.8833329999999999;328.16918;0;1034.1334
2018-01-01T09:46:00+00:00;12.116666;310.77494;46.378264;15.387796;0.45;343.06108;0;1034.0
2018-01-01T10:28:00+00:00;15.666668;419.0494;52.459672;21.47934;0.65;128.99934;0;1034.2834
2018-01-01T09:56:00+00:00;13.0;342.86904;52.003596;17.010316;0.833333;335.16068;0;1034.2002
2018-01-01T10:18:00+00:00;15.850002;400.11388;52.522832;20.188536;0.9;157.68466;0;1034.3
2018-01-01T10:27:00+00:00;15.583334;416.94548;53.37196;21.339404;0.85;115.3954;0;1034.3
2018-01-01T10:02:00+00:00;13.5;357.3174;50.235;17.951166;0.25;12.589264;0;1034.3
2018-01-01T09:19:00+00:00;10.066668;233.77632;44.799272;11.278486000000001;1.416667;330.33606;0;1033.6334
2018-01-01T09:12:00+00:00;9.766666;210.70878;42.502444;10.241326;1.583333;324.49988;0;1033.5
2018-01-01T09:22:00+00:00;10.283334;241.8457;43.879496;11.717642;1.45;326.34064;0;1033.7002
2018-01-01T09:45:00+00:00;12.05;308.27432;47.285016;15.220898;0.43333299999999997;342.08984;0;1034.0
2018-01-01T09:16:00+00:00;9.900002;223.3402;43.075396;10.839638;1.683333;334.00228;0;1033.6
2018-01-01T09:15:00+00:00;9.900002;219.96278;42.138916;10.687448;1.45;333.33734;0;1033.6
2018-01-01T09:28:00+00:00;10.633334;256.9418;42.068792;12.61114;0.55;312.34936;0;1033.8
2018-01-01T09:37:00+00:00;11.383334;285.25918;45.135724;13.994214;1.15;329.32824;0;1033.9
2018-01-01T09:25:00+00:00;10.400002;249.4524;43.30762;12.162442;0.9500000000000001;333.45132;0;1033.8
2018-01-01T09:13:00+00:00;9.8;212.9353;41.859716;10.39185;1.133333;335.45984;0;1033.5
2018-01-01T14:59:00+00:00;16.300002;397.5284;83.768176;20.275286;1.066667;212.39534;0;1032.2002
2018-01-01T15:06:00+00:00;16.300002;376.6504;84.357464;19.022172;0.833333;226.40072;0;1032.2002
2018-01-01T15:35:00+00:00;16.300002;291.4791;61.505808;14.590174;1.083333;216.27494;0;1032.0
2018-01-01T14:49:00+00:00;16.016666;413.06932;80.762616;21.377268;1.766667;247.9777;0;1032.3
2018-01-01T15:24:00+00:00;16.033334;321.14572;64.989724;16.157392;1.05;192.14118;0;1032.1
2018-01-01T15:09:00+00:00;16.283334;363.77232;83.48916;18.38742;2.3;239.34216;0;1032.2002
2018-01-01T15:39:00+00:00;16.1;285.83854;63.412036;14.034142;1.3;238.87772;0;1032.0834
2018-01-01T15:40:00+00:00;16.1;281.81852;61.787884;13.87786;1.166667;217.65812;0;1032.1
2018-01-01T15:10:00+00:00;16.2;360.0708;82.850592;18.185244;1.583333;242.5475;0;1032.3
2018-01-01T14:51:00+00:00;16.0;403.17504;79.67176;21.030284;1.2;233.78598;0;1032.3
2018-01-01T12:33:00+00:00;16.25;545.32768;69.163232;30.014048;1.916667;188.83274;0;1033.3334
